Hand,Suited,High card,Pair,Two Pair,Three of a Kind,Straight,Flush,Full House,Four of a Kind,Straight Flush
A8,Off-suited,0.19531235250807075,0.4585625554569654,0.2278644112594159,0.0445449225018407,0.030497083199607318,0.019554361985312164,0.022241310955464517,0.0012592270950933565,0.00016377503822990805
A7,Off-suited,0.19531235250807075,0.4585625554569654,0.2278644112594159,0.0445449225018407,0.030497083199607318,0.019554361985312164,0.022241310955464517,0.0012592270950933565,0.00016377503822990805
A6,Off-suited,0.19764862466725822,0.45998225377107366,0.2278644112594159,0.0445449225018407,0.026741112726311616,0.019554361985312164,0.022241310955464517,0.0012592270950933565,0.00016377503822990805
A5,Off-suited,0.19017255375785838,0.4514640638864241,0.22658536124903245,0.044274953274556814,0.04428439275802828,0.01955389001113859,0.022241310955464517,0.0012592270950933565,0.00016424701240348128
A4,Off-suited,0.19250882591704582,0.4528837622005324,0.22658536124903245,0.044274953274556814,0.04052842228473258,0.019574656874775814,0.022241310955464517,0.0012592270950933565,0.0001434801487662595
A3,Off-suited,0.19484509807623326,0.45430346051464066,0.22658536124903245,0.044274953274556814,0.03677245181143688,0.019595423738413033,0.022241310955464517,0.0012592270950933565,0.00012271328512903775
A2,Off-suited,0.1971813702354207,0.45572315882874886,0.22658536124903245,0.044274953274556814,0.033016481338141175,0.019616190602050255,0.022241310955464517,0.0012592270950933565,0.00010194642149181597
KA,Off-suited,0.1971813702354207,0.45572315882874886,0.22658536124903245,0.044274953274556814,0.033016481338141175,0.019616190602050255,0.022241310955464517,0.0012592270950933565,0.00010194642149181597
KJ,Off-suited,0.1878362815986709,0.4457852706299911,0.22530631123864903,0.04400498404727293,0.05384847741131605,0.019574656874775814,0.022241310955464517,0.0012592270950933565,0.0001434801487662595
K9,Off-suited,0.1929760803488833,0.4528837622005324,0.22658536124903245,0.044274953274556814,0.04006116785289509,0.019554361985312164,0.022241310955464517,0.0012592270950933565,0.00016377503822990805
K8,Off-suited,0.19764862466725822,0.45998225377107366,0.2278644112594159,0.0445449225018407,0.026741112726311616,0.019554361985312164,0.022241310955464517,0.0012592270950933565,0.00016377503822990805
K7,Off-suited,0.19531235250807075,0.4585625554569654,0.2278644112594159,0.0445449225018407,0.030497083199607318,0.019554361985312164,0.022241310955464517,0.0012592270950933565,0.00016377503822990805
K6,Off-suited,0.19531235250807075,0.4585625554569654,0.2278644112594159,0.0445449225018407,0.030497083199607318,0.019554361985312164,0.022241310955464517,0.0012592270950933565,0.00016377503822990805
K5,Off-suited,0.19484509807623326,0.4585625554569654,0.2278644112594159,0.0445449225018407,0.030964337631444808,0.01955389001113859,0.022241310955464517,0.0012592270950933565,0.00016424701240348128
K4,Off-suited,0.1971813702354207,0.45998225377107366,0.2278644112594159,0.0445449225018407,0.027208367158149106,0.019574656874775814,0.022241310955464517,0.0012592270950933565,0.0001434801487662595
K3,Off-suited,0.19951764239460817,0.4614019520851819,0.2278644112594159,0.0445449225018407,0.023452396684853404,0.019595423738413033,0.022241310955464517,0.0012592270950933565,0.00012271328512903775
K2,Off-suited,0.20185391455379562,0.46282165039929013,0.2278644112594159,0.0445449225018407,0.019696426211557705,0.019616190602050255,0.022241310955464517,0.0012592270950933565,0.00010194642149181597
QA,Off-suited,0.19484509807623326,0.45430346051464066,0.22658536124903245,0.044274953274556814,0.03677245181143688,0.019595423738413033,0.022241310955464517,0.0012592270950933565,0.00012271328512903775
QK,Off-suited,0.19017255375785838,0.4472049689440994,0.22530631123864903,0.04400498404727293,0.05009250693802035,0.019595423738413033,0.022241310955464517,0.0012592270950933565,0.00012271328512903775
QJ,Off-suited,0.18082746512110856,0.4372670807453416,0.22402726122826558,0.04373501481998905,0.07092450301119523,0.01955389001113859,0.022241310955464517,0.0012592270950933565,0.00016424701240348128
Q9,Off-suited,0.18596726387132095,0.44436557231588286,0.22530631123864903,0.04400498404727293,0.057137193452774265,0.019533595121674942,0.022241310955464517,0.0012592270950933565,0.00018454190186712984
Q8,Off-suited,0.19063980818969586,0.4514640638864241,0.22658536124903245,0.044274953274556814,0.04381713832619079,0.019533595121674942,0.022241310955464517,0.0012592270950933565,0.00018454190186712984
Q7,Off-suited,0.19531235250807075,0.4585625554569654,0.2278644112594159,0.0445449225018407,0.030497083199607318,0.019533595121674942,0.022241310955464517,0.0012592270950933565,0.00018454190186712984
Q6,Off-suited,0.1929760803488833,0.45714285714285713,0.2278644112594159,0.0445449225018407,0.03425305367290302,0.019533595121674942,0.022241310955464517,0.0012592270950933565,0.00018454190186712984
Q5,Off-suited,0.19250882591704582,0.45714285714285713,0.2278644112594159,0.0445449225018407,0.034720308104740506,0.019533123147501368,0.022241310955464517,0.0012592270950933565,0.00018501387604070305
Q4,Off-suited,0.19484509807623326,0.4585625554569654,0.2278644112594159,0.0445449225018407,0.030964337631444808,0.01955389001113859,0.022241310955464517,0.0012592270950933565,0.00016424701240348128
Q3,Off-suited,0.1971813702354207,0.45998225377107366,0.2278644112594159,0.0445449225018407,0.027208367158149106,0.019574656874775814,0.022241310955464517,0.0012592270950933565,0.0001434801487662595
Q2,Off-suited,0.19951764239460817,0.4614019520851819,0.2278644112594159,0.0445449225018407,0.023452396684853404,0.019595423738413033,0.022241310955464517,0.0012592270950933565,0.00012271328512903775
